Location,Area_sqft,Bedrooms,Bathrooms,Floors,Material_Quality,Interior_Type,Parking,Balcony,Garden,Material_Cost,Labour_Cost,Finishing_Cost,Total_Cost
MVP Colony,1200,4,2,1,Standard,Modern,Yes,No,No,1804000,820000,656000,3280000
Seethammadhara,1200,1,3,1,Standard,Modern,No,No,Yes,1749000,795000,636000,3180000
Gajuwaka,1500,4,1,2,Basic,Modern,No,Yes,Yes,1892000,860000,688000,3440000
Atchutapuram,1200,2,4,2,Premium,Normal,No,No,No,1878800,854000,683200,3416000
Kommadi,1800,3,3,1,Basic,Luxury,Yes,No,Yes,2103200,956000,764800,3824000
Padmanabham,1000,3,2,1,Basic,Normal,No,Yes,No,748000,340000,272000,1360000
Seethammadhara,2000,4,1,1,Premium,Luxury,Yes,No,No,3949000,1795000,1436000,7180000
Seethammadhara,1800,4,1,2,Premium,Modern,No,Yes,Yes,3647600,1658000,1326400,6632000
Parawada,1500,1,3,1,Standard,Normal,No,No,No,1485000,675000,540000,2700000
MVP Colony,2000,3,2,1,Basic,Normal,No,Yes,Yes,2167000,985000,788000,3940000
Rambilli,2000,3,1,1,Premium,Modern,Yes,Yes,No,2744500,1247500,998000,4990000
Sabbavaram,2000,3,4,2,Premium,Normal,Yes,Yes,No,3058000,1390000,1112000,5560000
Kommadi,1000,4,4,1,Standard,Luxury,No,Yes,No,1430000,650000,520000,2600000
Pendurthi,2500,3,3,1,Basic,Modern,No,Yes,Yes,2475000,1125000,900000,4500000
Bheemili,1000,1,4,1,Premium,Modern,Yes,No,Yes,1760000,800000,640000,3200000
Parawada,1500,2,2,1,Premium,Modern,No,No,Yes,2169750,986250,789000,3945000
Seethammadhara,2500,2,1,1,Basic,Modern,Yes,No,No,2860000,1300000,1040000,5200000
Seethammadhara,2500,3,3,2,Standard,Modern,No,Yes,No,3685000,1675000,1340000,6700000
Kommadi,800,2,1,1,Premium,Luxury,Yes,Yes,No,1632400,742000,593600,2968000
Gajuwaka,1000,4,2,1,Basic,Luxury,Yes,Yes,No,1353000,615000,492000,2460000
Atchutapuram,1000,2,1,1,Standard,Luxury,Yes,No,No,1375000,625000,500000,2500000
Sabbavaram,1200,3,4,1,Basic,Modern,No,No,No,1060400,482000,385600,1928000
Sabbavaram,2000,4,1,1,Premium,Normal,Yes,No,Yes,2838000,1290000,1032000,5160000
Parawada,1000,4,3,1,Premium,Modern,Yes,Yes,Yes,1611500,732500,586000,2930000
Padmanabham,2000,4,1,1,Standard,Modern,Yes,No,Yes,2145000,975000,780000,3900000
MVP Colony,1800,4,3,1,Premium,Normal,No,Yes,No,3207600,1458000,1166400,5832000
Kothavalasa,2000,2,3,1,Basic,Modern,No,No,No,1694000,770000,616000,3080000
Tagarapuvalasa,800,3,4,1,Standard,Modern,No,No,Yes,1001000,455000,364000,1820000
Kothavalasa,1800,2,3,1,Standard,Modern,Yes,Yes,No,2002000,910000,728000,3640000
Padmanabham,1800,4,4,1,Standard,Luxury,No,No,Yes,2013000,915000,732000,3660000
Pendurthi,1800,2,3,1,Premium,Normal,Yes,Yes,No,2916650,1325750,1060600,5303000
Pendurthi,800,3,1,2,Premium,Normal,No,No,Yes,1577400,717000,573600,2868000
Kommadi,1200,2,3,1,Standard,Luxury,Yes,No,Yes,1826000,830000,664000,3320000
Sabbavaram,1200,1,1,1,Standard,Normal,Yes,Yes,Yes,1353000,615000,492000,2460000
Sabbavaram,800,4,1,1,Standard,Normal,No,Yes,No,792000,360000,288000,1440000
Kommadi,800,1,1,1,Basic,Luxury,Yes,Yes,No,1124200,511000,408800,2044000
MVP Colony,1200,2,2,1,Standard,Modern,Yes,No,No,1804000,820000,656000,3280000
Kothavalasa,800,2,1,1,Standard,Modern,Yes,Yes,No,1012000,460000,368000,1840000
MVP Colony,1500,1,4,2,Standard,Luxury,Yes,No,No,2640000,1200000,960000,4800000
Sabbavaram,1800,4,4,2,Standard,Luxury,No,No,Yes,2387000,1085000,868000,4340000
Sabbavaram,2500,1,2,2,Basic,Modern,Yes,Yes,Yes,2530000,1150000,920000,4600000
Kothavalasa,1200,4,4,2,Standard,Luxury,Yes,Yes,Yes,1903000,865000,692000,3460000
MVP Colony,1800,4,1,2,Standard,Normal,Yes,No,No,2761000,1255000,1004000,5020000
Kothavalasa,1800,4,1,1,Premium,Luxury,No,No,No,2680700,1218500,974800,4874000
Madhurawada,1500,4,4,1,Premium,Luxury,No,Yes,No,2836625,1289375,1031500,5157500
Bheemili,1200,1,1,1,Basic,Modern,Yes,No,No,1276000,580000,464000,2320000
MVP Colony,1000,4,3,1,Standard,Normal,No,Yes,No,1320000,600000,480000,2400000
Madhurawada,1000,2,4,1,Premium,Modern,Yes,Yes,No,1927750,876250,701000,3505000
Padmanabham,1200,4,1,1,Premium,Normal,No,Yes,Yes,1569700,713500,570800,2854000
Tagarapuvalasa,1200,4,4,1,Basic,Modern,Yes,Yes,No,1223200,556000,444800,2224000
Sabbavaram,1200,1,4,1,Premium,Normal,Yes,Yes,No,1713800,779000,623200,3116000
MVP Colony,1500,1,3,1,Standard,Luxury,Yes,No,Yes,2420000,1100000,880000,4400000
Parawada,1800,2,3,2,Premium,Normal,Yes,Yes,No,2790700,1268500,1014800,5074000
Padmanabham,1500,2,3,2,Premium,Modern,No,No,No,2278375,1035625,828500,4142500
Kommadi,1800,3,1,1,Basic,Modern,Yes,No,No,1883200,856000,684800,3424000
Gajuwaka,2000,1,3,1,Premium,Luxury,No,No,Yes,3597000,1635000,1308000,6540000
Anandapuram,2000,2,3,2,Basic,Normal,No,Yes,No,2035000,925000,740000,3700000
Anandapuram,1200,4,1,1,Standard,Luxury,Yes,No,No,1705000,775000,620000,3100000
Anandapuram,800,3,4,1,Standard,Normal,Yes,Yes,No,990000,450000,360000,1800000
Kommadi,1200,2,1,1,Basic,Modern,Yes,No,Yes,1383800,629000,503200,2516000
Gajuwaka,2000,2,3,1,Basic,Modern,Yes,No,No,2156000,980000,784000,3920000
Seethammadhara,2000,4,2,1,Basic,Modern,Yes,No,Yes,2387000,1085000,868000,4340000
Padmanabham,1000,3,3,2,Basic,Normal,Yes,Yes,Yes,1188000,540000,432000,2160000
Tagarapuvalasa,800,4,1,1,Basic,Normal,Yes,No,No,778800,354000,283200,1416000
Kothavalasa,1800,4,4,1,Standard,Normal,Yes,No,No,1892000,860000,688000,3440000
Kothavalasa,800,3,4,1,Premium,Luxury,Yes,No,No,1454200,661000,528800,2644000
Madhurawada,1800,4,4,1,Premium,Modern,Yes,No,Yes,3348950,1522250,1217800,6089000
Pendurthi,800,3,3,1,Basic,Luxury,Yes,No,No,1124200,511000,408800,2044000
Kommadi,1200,3,2,2,Premium,Modern,Yes,No,No,2366100,1075500,860400,4302000
Parawada,1500,3,4,2,Premium,Modern,No,Yes,Yes,2444750,1111250,889000,4445000
Sabbavaram,2500,3,1,1,Standard,Modern,Yes,Yes,Yes,2750000,1250000,1000000,5000000
Anandapuram,1000,1,4,1,Premium,Modern,No,No,No,1595000,725000,580000,2900000
Pendurthi,1500,2,1,1,Premium,Modern,Yes,Yes,No,2558875,1163125,930500,4652500
MVP Colony,800,4,1,1,Premium,Normal,Yes,Yes,No,1535600,698000,558400,2792000
Pendurthi,1800,3,4,1,Premium,Luxury,No,Yes,Yes,3136650,1425750,1140600,5703000
Sabbavaram,1200,2,2,2,Basic,Normal,No,No,No,1225400,557000,445600,2228000
Parawada,2000,1,3,2,Basic,Normal,Yes,Yes,Yes,2024000,920000,736000,3680000
Atchutapuram,2500,2,3,1,Standard,Modern,Yes,No,No,2695000,1225000,980000,4900000
Atchutapuram,1000,2,3,2,Premium,Modern,No,No,No,1721500,782500,626000,3130000
Sabbavaram,1800,4,1,1,Standard,Modern,No,Yes,Yes,1947000,885000,708000,3540000
Kothavalasa,1000,2,2,1,Basic,Modern,Yes,No,Yes,1067000,485000,388000,1940000
Atchutapuram,2500,1,3,1,Standard,Normal,Yes,Yes,Yes,2640000,1200000,960000,4800000
Sabbavaram,1200,3,4,2,Standard,Modern,Yes,Yes,Yes,1738000,790000,632000,3160000
Gajuwaka,1200,4,4,2,Premium,Modern,Yes,Yes,No,2455200,1116000,892800,4464000
Sabbavaram,2000,4,2,2,Standard,Modern,No,Yes,Yes,2420000,1100000,880000,4400000
Tagarapuvalasa,2000,3,1,1,Premium,Luxury,Yes,Yes,No,3206500,1457500,1166000,5830000
Tagarapuvalasa,2000,1,3,1,Basic,Luxury,No,Yes,No,1947000,885000,708000,3540000
Parawada,1200,1,2,1,Basic,Normal,Yes,Yes,No,1060400,482000,385600,1928000
Madhurawada,2500,2,3,1,Basic,Normal,No,Yes,Yes,2585000,1175000,940000,4700000
Gajuwaka,800,4,3,1,Premium,Modern,No,No,No,1416800,644000,515200,2576000
Sabbavaram,1800,2,1,1,Basic,Luxury,No,Yes,No,1700600,773000,618400,3092000
Rambilli,2500,3,1,2,Standard,Luxury,Yes,No,Yes,3052500,1387500,1110000,5550000
Madhurawada,2500,2,1,1,Basic,Modern,No,Yes,Yes,2695000,1225000,980000,4900000
Pendurthi,2500,3,2,1,Standard,Luxury,Yes,Yes,Yes,3327500,1512500,1210000,6050000
Padmanabham,800,1,2,1,Basic,Normal,Yes,No,No,708400,322000,257600,1288000
Seethammadhara,800,2,1,2,Standard,Luxury,No,No,No,1606000,730000,584000,2920000
Atchutapuram,2500,2,1,1,Basic,Normal,Yes,No,No,2090000,950000,760000,3800000
Anandapuram,2500,1,2,1,Premium,Modern,Yes,No,Yes,3987500,1812500,1450000,7250000
Kothavalasa,1800,4,2,2,Standard,Modern,No,No,Yes,2222000,1010000,808000,4040000
Tagarapuvalasa,800,3,3,1,Standard,Luxury,Yes,No,Yes,1276000,580000,464000,2320000
Padmanabham,1000,4,4,2,Premium,Modern,Yes,No,No,1757250,798750,639000,3195000
Padmanabham,1800,1,2,2,Premium,Modern,Yes,No,No,2767050,1257750,1006200,5031000
Kothavalasa,800,4,4,1,Premium,Luxury,No,No,No,1344200,611000,488800,2444000
Kothavalasa,2500,3,3,1,Basic,Normal,No,Yes,Yes,2035000,925000,740000,3700000
Parawada,800,1,4,1,Premium,Luxury,Yes,Yes,Yes,1509200,686000,548800,2744000
Seethammadhara,2000,3,4,1,Basic,Modern,No,Yes,Yes,2277000,1035000,828000,4140000
Gajuwaka,1200,2,2,1,Standard,Modern,No,No,Yes,1617000,735000,588000,2940000
Pendurthi,1800,4,1,2,Standard,Normal,Yes,Yes,No,2464000,1120000,896000,4480000
Padmanabham,2500,2,1,2,Basic,Normal,No,Yes,No,2145000,975000,780000,3900000
Madhurawada,2000,3,3,1,Basic,Luxury,No,Yes,No,2299000,1045000,836000,4180000
MVP Colony,1200,4,4,1,Basic,Normal,Yes,Yes,Yes,1432200,651000,520800,2604000
Tagarapuvalasa,1000,1,1,2,Standard,Normal,Yes,Yes,Yes,1485000,675000,540000,2700000
Kommadi,2500,4,3,1,Standard,Modern,No,Yes,Yes,3052500,1387500,1110000,5550000
Rambilli,2500,1,4,1,Basic,Normal,No,Yes,No,1870000,850000,680000,3400000
Parawada,1800,3,4,2,Standard,Normal,No,No,Yes,2112000,960000,768000,3840000
MVP Colony,2000,3,3,1,Basic,Modern,No,No,Yes,2277000,1035000,828000,4140000
Pendurthi,1000,1,1,2,Premium,Modern,No,No,No,1944250,883750,707000,3535000
Kommadi,1200,4,4,1,Basic,Normal,No,Yes,No,1108800,504000,403200,2016000
Seethammadhara,1500,4,1,1,Standard,Normal,Yes,Yes,No,2090000,950000,760000,3800000
Pendurthi,1500,1,1,2,Basic,Luxury,No,Yes,No,1936000,880000,704000,3520000
Bheemili,1800,1,3,1,Premium,Normal,No,Yes,Yes,2728000,1240000,992000,4960000
Kommadi,2000,1,4,2,Premium,Modern,No,Yes,No,3503500,1592500,1274000,6370000
Atchutapuram,1000,2,3,1,Standard,Normal,Yes,Yes,No,1100000,500000,400000,2000000
Tagarapuvalasa,2000,2,2,1,Premium,Modern,Yes,Yes,No,3041500,1382500,1106000,5530000
Bheemili,2000,1,3,1,Basic,Luxury,No,Yes,No,2035000,925000,740000,3700000
Seethammadhara,1500,4,2,1,Basic,Modern,No,Yes,Yes,1749000,795000,636000,3180000
Seethammadhara,1500,4,4,1,Standard,Modern,No,No,Yes,2145000,975000,780000,3900000
Kommadi,1200,1,1,1,Premium,Luxury,No,Yes,No,2146100,975500,780400,3902000
Gajuwaka,800,3,1,1,Standard,Modern,Yes,Yes,No,1188000,540000,432000,2160000
Anandapuram,1500,1,4,1,Standard,Modern,No,No,Yes,1815000,825000,660000,3300000
Rambilli,800,3,1,1,Standard,Luxury,Yes,Yes,No,1133000,515000,412000,2060000
Tagarapuvalasa,1200,1,4,1,Basic,Modern,No,Yes,No,1113200,506000,404800,2024000
Kommadi,2000,2,2,1,Premium,Normal,Yes,Yes,Yes,3283500,1492500,1194000,5970000
Pendurthi,1800,4,4,1,Basic,Normal,No,No,Yes,1718200,781000,624800,3124000
